fechaDato,idVariable,bateria,bateria_voltios,valor
1566547268,2,95,12.00,0.00
1566547268,2,95,12.00,0.00
1566547268,2,95,12.00,0.00
1566547268,2,95,12.00,0.00
1566547268,2,95,12.00,8.00
1566547268,2,95,12.00,8.00
1566547268,2,95,12.00,8.00
1568350812,2,46,3.78,16.11
1568350927,2,46,3.78,16.22
1568351042,2,46,3.78,16.36
1568351154,2,46,3.78,16.39
1568351265,2,46,3.78,16.46
1568351377,2,46,3.78,16.46
1568351488,2,46,3.78,16.54
1568351599,2,46,3.78,16.54
1568351714,2,46,3.78,16.54
1568351825,2,46,3.78,16.53
1568351936,2,46,3.78,16.59
1568352051,2,46,3.78,16.56
1568352162,2,46,3.78,16.55
1568352277,2,46,3.78,16.54
1568352388,2,46,3.78,16.48
1568352499,2,46,3.78,16.48
1568352614,2,46,3.78,16.45
1568352725,2,46,3.78,16.41
1568352836,2,46,3.78,16.36
1568352947,2,46,3.78,16.31
1568353062,2,45,3.78,16.25
1568353177,2,46,3.78,16.22
1568353288,2,46,3.78,16.22
1568353399,2,46,3.78,16.22
1568353514,2,46,3.78,16.22
1568353625,2,45,3.78,16.20
1568353736,2,45,3.78,16.19
1568353851,2,45,3.78,16.11
1568353962,2,45,3.78,16.09
1568354073,2,45,3.78,16.08
1568354184,2,45,3.78,16.10
1568354299,2,45,3.78,16.08
1568354419,2,45,3.78,16.10
1568354539,2,45,3.78,16.12
1568354660,2,45,3.78,16.02
1568354771,2,45,3.78,15.90
1568354892,2,45,3.78,15.88
1568355003,2,45,3.78,15.84
1568355114,2,45,3.78,15.75
1568355225,2,45,3.78,15.73
1568355337,2,45,3.78,15.71
1568355448,2,45,3.78,15.77
1568355559,2,45,3.78,15.77
1568355670,2,45,3.78,15.71
1568355781,2,45,3.78,15.73
1568355892,2,45,3.78,15.70
1568356007,2,45,3.78,15.65
1568356118,2,45,3.78,15.56
1568356229,2,45,3.78,15.42
1568356350,2,45,3.78,15.27
1568356483,2,45,3.78,15.13
1568356603,2,45,3.77,15.11
1568356714,2,45,3.78,15.07
1568356825,2,45,3.77,15.05
1568356940,2,45,3.77,15.04
1568357051,2,45,3.77,15.00
1568357166,2,45,3.78,14.97
1568357277,2,45,3.77,14.98
1568357388,2,45,3.78,15.06
1568357503,2,45,3.78,15.12
1568357614,2,45,3.78,15.18
1568357725,2,45,3.77,15.22
1568357840,2,45,3.77,15.25
1568357951,2,45,3.77,15.29
1568358066,2,45,3.77,15.32
1568358190,2,45,3.77,15.34
1568358301,2,45,3.77,15.35
1568358416,2,45,3.77,15.34
1568358527,2,45,3.77,15.30
1568358638,2,45,3.77,15.25
1568358753,2,45,3.77,15.13
1568358864,2,45,3.77,15.09
1568358979,2,45,3.77,15.07
1568359091,2,45,3.77,15.12
1568359215,2,45,3.77,15.13
1568359330,2,45,3.77,15.09
1568359441,2,45,3.77,15.03
1568359556,2,45,3.77,15.06
1568359667,2,45,3.77,15.11
1568359778,2,45,3.77,15.14
1568359898,2,45,3.77,15.16
1568360009,2,45,3.77,15.23
1568360124,2,45,3.77,15.37
1568360235,2,45,3.77,15.46
1568360368,2,45,3.77,15.59
1568360489,2,45,3.77,15.61
1568360600,2,45,3.77,15.85
1568360713,2,45,3.77,15.94
1568360824,2,45,3.77,16.04
1568360935,2,45,3.77,16.00
1568361046,2,45,3.77,15.98
1568361157,2,45,3.77,16.00
1568361272,2,45,3.77,16.05
1568361383,2,45,3.77,16.10
1568361494,2,45,3.77,16.21
1568361605,2,44,3.77,16.40
1568361716,2,45,3.77,16.48
1568361827,2,45,3.77,16.42
1568361938,2,45,3.77,16.39
1568362053,2,44,3.77,16.25
1568362168,2,44,3.77,16.27
1568362279,2,44,3.77,16.27
1568362394,2,44,3.77,16.22
1568362505,2,44,3.77,16.26
1568362620,2,44,3.77,16.19
1568362741,2,44,3.77,16.08
1568362852,2,44,3.77,16.02
1568362963,2,44,3.77,15.96
1568363074,2,44,3.77,15.94
1568363189,2,44,3.77,15.89
1568363300,2,44,3.77,15.87
1568363415,2,44,3.77,15.82
1568363526,2,44,3.77,15.79
1568363637,2,44,3.77,15.71
1568363748,2,44,3.77,15.66
1568364109,2,44,3.77,15.53
1568364233,2,44,3.77,15.49
1568364344,2,44,3.77,15.47
1568364455,2,44,3.77,15.42
1568364566,2,44,3.77,15.35
1568364677,2,44,3.77,15.28
1568364788,2,44,3.76,15.15
1568364899,2,44,3.77,15.05
1568365032,2,44,3.76,14.94
1568365143,2,44,3.77,14.86
1568365254,2,44,3.77,14.86
1568365365,2,44,3.77,14.86
1568365476,2,44,3.77,14.83
1568365600,2,44,3.76,14.82
1568365712,2,44,3.76,14.87
1568365823,2,44,3.76,14.89
1568365937,2,43,3.76,14.89
1568366049,2,44,3.76,14.83
1568366164,2,44,3.77,14.85
1568366275,2,44,3.76,14.85
1568366386,2,44,3.77,14.81
1568366497,2,43,3.76,14.76
1568366618,2,43,3.77,14.65
1568366729,2,44,3.76,14.56
1568366840,2,43,3.76,14.46
1568366955,2,43,3.76,14.31
1568367076,2,43,3.76,14.16
1568367187,2,43,3.76,14.04
1568367298,2,43,3.76,14.05
1568367409,2,43,3.76,13.96
1568367520,2,43,3.76,13.87
1568367635,2,43,3.76,13.77
1568367746,2,43,3.76,13.72
1568367857,2,43,3.76,13.71
1568367968,2,43,3.76,13.78
1568368079,2,43,3.76,13.71
1568368190,2,43,3.76,13.68
1568368305,2,43,3.76,13.60
1568368416,2,43,3.76,13.63
1568368536,2,43,3.76,13.56
1568368647,2,43,3.76,13.53
1568368758,2,43,3.76,13.50
1568368869,2,43,3.76,13.49
1568368980,2,43,3.76,13.45
1568369097,2,43,3.76,13.39
1568369208,2,43,3.76,13.38
1568369319,2,43,3.76,13.25
1568369430,2,43,3.76,13.27
1568369542,2,43,3.76,13.24
1568369653,2,43,3.76,13.22
1568369764,2,43,3.76,13.22
1568369875,2,43,3.76,13.25
1568369986,2,43,3.76,13.27
1568370097,2,43,3.76,13.31
1568370208,2,43,3.76,13.31
1568370329,2,43,3.76,13.24
1568370440,2,43,3.76,13.31
1568370551,2,43,3.76,13.22
1568370662,2,43,3.76,13.12
1568370786,2,43,3.76,13.04
1568370897,2,43,3.76,13.04
1568371008,2,43,3.76,13.00
1568371119,2,43,3.76,12.88
1568371230,2,43,3.76,12.92
1568371341,2,43,3.76,12.85
1568371452,2,43,3.76,12.82
1568371563,2,43,3.76,12.87
1568371678,2,43,3.76,12.94
1568371793,2,43,3.76,12.87
1568371913,2,43,3.76,12.84
1568372028,2,43,3.76,12.86
1568372139,2,43,3.76,12.82
1568372254,2,43,3.76,12.75
1568372365,2,43,3.76,12.71
1568372480,2,43,3.76,12.76
1568372591,2,43,3.76,12.89
1568372702,2,43,3.76,12.89
1568372816,2,43,3.76,12.77
1568372940,2,43,3.76,12.58
1568373169,2,43,3.76,12.77
1568373280,2,43,3.76,12.82
1568373400,2,43,3.76,12.82
1568373511,2,43,3.76,13.21
1568373646,2,43,3.76,13.36
1568373761,2,43,3.76,13.25
1568373896,2,43,3.76,13.21
1568374031,2,43,3.76,13.36
1568374142,2,43,3.76,13.47
1568374253,2,43,3.76,13.53
1568374364,2,43,3.76,13.57
1568374475,2,43,3.76,13.59
1568374586,2,43,3.76,13.62
1568374697,2,43,3.76,13.62
1568374808,2,43,3.76,13.69
1568374919,2,43,3.76,13.76
1568375030,2,43,3.76,13.86
1568375145,2,43,3.77,13.94
1568375256,2,45,3.76,14.07
1568375367,2,43,3.76,14.17
1568375479,2,43,3.76,14.33
1568375590,2,44,3.77,14.46
1568375706,2,44,3.76,14.58
1568375821,2,43,3.76,14.74
1568375936,2,45,3.76,14.88
1568376047,2,43,3.77,14.99
1568376162,2,43,3.77,15.16
1568376273,2,45,3.76,15.30
1568376385,2,45,3.76,15.42
1568376500,2,43,3.78,15.54
1568376615,2,44,3.78,15.59
1568376726,2,45,3.76,15.64
1568376842,2,45,3.77,15.69
1568376957,2,45,3.77,15.73
1568377068,2,45,3.77,15.77
1568377179,2,45,3.77,15.79
1568377294,2,45,3.78,15.82
1568377405,2,45,3.78,15.85
1568377520,2,45,3.78,15.91
1568377631,2,45,3.78,15.99
1568377742,2,45,3.78,16.07
1568377857,2,45,3.78,16.15
1568377968,2,45,3.78,16.20
1568378079,2,45,3.78,16.24
1568378190,2,45,3.78,16.22
1568378305,2,45,3.78,16.20
1568378416,2,45,3.78,16.22
1568378527,2,45,3.78,16.27
1568378638,2,46,3.78,16.35
1568378749,2,46,3.78,16.46
1568378860,2,47,3.79,16.67
1568378975,2,48,3.79,16.94
1568379087,2,47,3.79,17.08
1568379198,2,47,3.79,17.07
1568379309,2,47,3.79,17.07
1568379420,2,47,3.79,17.21
1568379531,2,47,3.79,17.29
1568379642,2,47,3.79,17.36
1568379753,2,47,3.79,17.32
1568379873,2,47,3.79,17.39
1568379986,2,48,3.79,17.49
1568380097,2,47,3.79,17.63
1568380208,2,47,3.78,17.77
1568380324,2,46,3.78,17.83
1568380436,2,46,3.78,17.77
1568380547,2,46,3.78,17.60
1568380659,2,47,3.78,17.55
1568380770,2,47,3.78,17.46
1568380890,2,47,3.79,17.42
1568381006,2,48,3.79,17.47
1568381117,2,48,3.79,17.66
1568381228,2,48,3.80,17.77
1568381339,2,49,3.80,17.81
1568381450,2,49,3.80,17.88
1568381565,2,49,3.80,17.98
1568381676,2,49,3.81,18.06
1568381787,2,50,3.81,18.21
1568381898,2,50,3.81,18.55
1568382013,2,50,3.81,18.89
1568382124,2,50,3.81,18.84
1568382235,2,50,3.82,18.91
1568382346,2,51,3.82,19.56
1568382461,2,50,3.81,19.83
1568382572,2,50,3.81,19.89
1568382683,2,50,3.82,19.76
1568382794,2,51,3.82,20.24
1568382909,2,50,3.81,20.92
1568383020,2,50,3.81,20.95
1568383132,2,50,3.81,20.78
1568383243,2,51,3.82,20.56
1568383354,2,51,3.82,20.84
1568383465,2,50,3.82,21.17
1568383576,2,50,3.81,21.01
1568383691,2,50,3.81,20.79
1568383803,2,50,3.81,20.54
1568383914,2,50,3.81,20.31
1568384025,2,49,3.81,20.04
1568384137,2,49,3.80,20.16
1568384248,2,48,3.80,20.16
1568384359,2,48,3.80,19.94
1568384470,2,49,3.80,19.63
1568384581,2,49,3.80,19.48
1568384692,2,49,3.81,19.48
1568384807,2,50,3.81,19.47
1568384919,2,51,3.82,19.51
1568385032,2,52,3.82,19.90
1568385156,2,51,3.82,20.45
1568385276,2,50,3.81,20.61
1568385388,2,50,3.81,20.48
1568385499,2,50,3.81,20.40
1568385612,2,51,3.82,20.46
1568385729,2,51,3.82,20.70
1568385849,2,50,3.82,20.90
1568385964,2,50,3.81,21.12
1568386076,2,50,3.81,21.18
1568386191,2,50,3.81,21.05
1568386309,2,50,3.82,20.85
1568386420,2,51,3.82,20.75
1568386532,2,51,3.82,20.84
1568386647,2,52,3.83,20.85
1568386758,2,51,3.82,20.81
1568386870,2,51,3.82,20.99
1568386981,2,52,3.83,21.08
1568387102,2,53,3.83,21.18
1568387213,2,53,3.83,21.40
1568387330,2,53,3.83,21.66
1568387451,2,53,3.83,21.44
1568387563,2,53,3.83,21.18
1568387674,2,53,3.84,21.41
1568387789,2,54,3.84,21.44
1568387900,2,54,3.84,21.41
1568388011,2,53,3.83,21.63
1568388122,2,53,3.83,21.60
1568388234,2,53,3.83,21.69
1568388345,2,53,3.84,21.81
1568388456,2,55,3.85,21.85
1568388567,2,55,3.85,21.99
1568388678,2,55,3.85,22.07
1568388793,2,55,3.85,22.39
1568388904,2,55,3.85,22.72
1568389015,2,56,3.86,22.78
1568389126,2,55,3.85,22.91
1568389241,2,55,3.85,23.30
1568389361,2,56,3.86,23.07
1568389472,2,56,3.86,23.11
1568389587,2,55,3.85,23.27
1568389703,2,56,3.85,23.20
1568389814,2,56,3.86,23.36
1568389925,2,55,3.85,23.14
1568390036,2,56,3.86,22.85
1568390147,2,55,3.85,23.15
1568390258,2,55,3.85,23.93
1568390373,2,56,3.85,24.53
1568390496,2,56,3.86,24.63
1568390621,2,55,3.85,25.20
1568390732,2,55,3.85,25.90
1568390843,2,55,3.85,26.75
1568390954,2,55,3.85,27.33
1568391069,2,55,3.85,27.41
1568391184,2,55,3.85,27.36
1568391299,2,55,3.85,27.36
1568391410,2,55,3.85,27.59
1568391525,2,55,3.85,27.51
1568391640,2,56,3.85,27.91
1568391751,2,55,3.85,28.07
1568391862,2,56,3.85,27.89
