fechaDato,fechaDato,idVariable,bateria,bateria_voltios,valor
2019-12-07 12:59:28,1575741568,2,96,4.17,19.29
2019-12-07 13:01:28,1575741688,2,96,4.17,19.26
2019-12-07 13:03:22,1575741802,2,96,4.17,19.24
2019-12-07 13:04:48,1575741888,2,93,4.14,19.07
2019-12-07 13:06:35,1575741995,2,96,4.17,18.94
2019-12-07 13:08:30,1575742110,2,96,4.17,18.80
2019-12-07 13:10:26,1575742226,2,97,4.17,18.93
2019-12-07 13:12:24,1575742344,2,96,4.17,19.00
2019-12-07 13:14:15,1575742455,2,97,4.17,18.90
2019-12-07 13:15:49,1575742549,2,93,4.14,18.66
2019-12-07 13:17:36,1575742656,2,96,4.17,18.69
2019-12-07 13:19:27,1575742767,2,97,4.17,18.74
2019-12-07 13:21:19,1575742879,2,97,4.17,18.65
2019-12-07 13:23:20,1575743000,2,97,4.17,19.27
2019-12-07 13:25:12,1575743112,2,97,4.17,20.56
2019-12-07 13:28:54,1575743334,2,96,4.17,21.73
2019-12-07 13:31:09,1575743469,2,96,4.17,21.10
2019-12-07 13:33:04,1575743584,2,96,4.17,20.14
2019-12-07 13:34:59,1575743699,2,97,4.17,19.46
2019-12-07 13:36:54,1575743814,2,96,4.17,19.23
2019-12-07 13:38:49,1575743929,2,97,4.17,19.10
2019-12-07 13:40:44,1575744044,2,97,4.17,18.70
2019-12-07 13:42:49,1575744169,2,96,4.17,18.60
2019-12-07 13:44:45,1575744285,2,97,4.17,18.59
2019-12-07 13:46:36,1575744396,2,97,4.17,18.54
2019-12-07 13:48:31,1575744511,2,97,4.17,18.59
2019-12-07 13:50:27,1575744627,2,97,4.17,18.30
2019-12-07 13:52:22,1575744742,2,97,4.17,17.95
2019-12-07 13:54:17,1575744857,2,97,4.17,17.88
2019-12-07 13:56:12,1575744972,2,97,4.17,17.80
2019-12-07 13:58:07,1575745087,2,97,4.18,17.69
2019-12-07 14:00:02,1575745202,2,97,4.17,17.52
2019-12-07 14:01:57,1575745317,2,97,4.17,17.38
2019-12-07 14:03:52,1575745432,2,97,4.18,17.27
2019-12-07 14:05:47,1575745547,2,97,4.17,17.15
2019-12-07 14:07:42,1575745662,2,97,4.18,17.08
2019-12-07 14:10:00,1575745800,2,97,4.18,17.14
2019-12-07 14:11:51,1575745911,2,97,4.18,17.40
2019-12-07 14:13:42,1575746022,2,97,4.18,17.64
2019-12-07 14:15:33,1575746133,2,97,4.18,17.84
2019-12-07 14:17:29,1575746249,2,97,4.18,18.06
2019-12-07 14:19:20,1575746360,2,97,4.18,18.23
2019-12-07 14:21:15,1575746475,2,97,4.18,18.65
2019-12-07 14:23:11,1575746591,2,97,4.18,19.07
2019-12-07 14:25:06,1575746706,2,97,4.17,19.29
2019-12-07 14:27:02,1575746822,2,97,4.18,19.66
2019-12-07 14:28:53,1575746933,2,97,4.18,19.90
2019-12-07 14:30:46,1575747046,2,97,4.18,20.02
2019-12-07 14:32:41,1575747161,2,96,4.18,20.39
2019-12-07 14:34:36,1575747276,2,97,4.17,20.58
2019-12-07 14:36:32,1575747392,2,97,4.18,20.42
2019-12-07 14:38:23,1575747503,2,97,4.18,20.21
2019-12-07 14:40:19,1575747619,2,97,4.18,19.93
2019-12-07 14:42:14,1575747734,2,97,4.18,19.70
2019-12-07 14:44:10,1575747850,2,97,4.18,19.67
2019-12-07 14:46:05,1575747965,2,97,4.18,19.49
2019-12-07 14:48:00,1575748080,2,97,4.18,19.26
2019-12-07 14:49:55,1575748195,2,97,4.18,19.32
2019-12-07 14:51:50,1575748310,2,97,4.18,19.46
2019-12-07 14:53:45,1575748425,2,97,4.18,19.65
